Culture,Fungus,Lichen
ASV3450,,ASV3361
ASV3453,,ASV3362
ASV3454,,ASV3363
ASV3455,,ASV3364
ASV3457,,ASV3365
ASV3458,,ASV3366
ASV3459,,ASV3367
ASV3460,,ASV3368
ASV3461,,ASV3369
ASV3462,,ASV337
ASV3464,,ASV3370
ASV3466,,ASV3371
ASV35,,ASV3372
ASV350,,ASV3373
ASV351,,ASV3375
ASV3528,,ASV3376
ASV3529,,ASV3377
ASV353,,ASV3379
ASV3530,,ASV338
ASV3531,,ASV3381
ASV3533,,ASV3382
ASV3536,,ASV3387
ASV3538,,ASV3388
ASV3539,,ASV3389
ASV354,,ASV3390
ASV3540,,ASV3392
ASV3542,,ASV3393
ASV3543,,ASV3395
ASV3544,,ASV3397
ASV3545,,ASV340
ASV3546,,ASV3402
ASV3550,,ASV3403
ASV3552,,ASV3404
ASV3553,,ASV3405
ASV3554,,ASV3406
ASV3556,,ASV341
ASV3558,,ASV345
ASV356,,ASV346
ASV357,,ASV3482
ASV358,,ASV3483
ASV359,,ASV3484
ASV361,,ASV3485
ASV362,,ASV3486
ASV363,,ASV3487
ASV364,,ASV3488
ASV366,,ASV3489
ASV369,,ASV3490
ASV370,,ASV3492
ASV374,,ASV3493
ASV375,,ASV3494
ASV376,,ASV3495
ASV378,,ASV3496
ASV379,,ASV3497
ASV380,,ASV3498
ASV381,,ASV3499
ASV382,,ASV35
ASV384,,ASV350
ASV387,,ASV3500
ASV39,,ASV3502
ASV390,,ASV3503
ASV397,,ASV3504
ASV398,,ASV3505
ASV399,,ASV3506
ASV401,,ASV3507
ASV402,,ASV3508
ASV403,,ASV3509
ASV407,,ASV351
ASV410,,ASV3510
ASV416,,ASV3513
ASV417,,ASV3514
ASV418,,ASV3515
ASV422,,ASV3516
ASV426,,ASV3517
ASV427,,ASV3518
ASV428,,ASV3519
ASV430,,ASV354
ASV432,,ASV355
ASV433,,ASV356
ASV435,,ASV3565
