Sample,C+AC0-FOMI+AC0-AGAR+AC0-POT+AC0-63,C+AC0-FOMI+AC0-AGAR+AC0-POT+AC0-64,C+AC0-PENI+AC0-AGAR+AC0-OAT+AC0-65,C+AC0-PENI+AC0-AGAR+AC0-OAT+AC0-66,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-56,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-57,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-62,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-50,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-52,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-59,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-60,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-61,C+AC0-UNKN+AC0-AGAR+AC0-POT+AC0-55,C+AC0-UNKN+AC0-AGAR+AC0-POT+AC0-67,F+AC0-MSUB+AC0-WOOD+AC0-EPB+AC0-20,F+AC0-MSUB+AC0-WOOD+AC0-EPB+AC0-22,F+AC0-MSUB+AC0-WOOD+AC0-SAB+AC0-28,L+AC0-CBRA+AC0-BARK+AC0-BOJ+AC0-02,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-01,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-11,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-12,L+AC0-CFUR+AC0-WOOD+AC0-BOJ+AC0-15,L+AC0-CSTE+AC0-BARK+AC0-UKN+AC0-42,L+AC0-CSTE+AC0-WOOD+AC0-EPB+AC0-39,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-06,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-08,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-21,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-36,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-46,L+AC0-CTRI+AC0-WOOD+AC0-BOJ+AC0-26
neg19795,1544600,0,254762,0,0,0,940972,0,117103,0,0,319681,0,4964791,13280,12797,0,6224595,56014,78865,534200,235002,3668291,248005,1991393,242165,1679047,0,9524,0
neg19799,823377,533491,1190148,2279797,234876,12823,494701,115648,7674645,1067900,97608,647909,300284,1666347,291296,389195,307249,1024925,138397,228828,3428879,690856,10779511,574110,2276843,19989421,18092916,51916,39115,266991
neg19800,368888,0,339180,0,0,37740,121807,89605,2562278,0,73203,100460,0,677381,56555,77403,84633,161166,37439,36306,675562,477090,6006785,120288,384174,2939105,2823072,23678,47187,285756
neg19801,660912,0,1073185,0,0,30834,679423,53420,3853585,52815,259960,702765,5299,1134153,174735,288514,296887,577878,77550,162546,1554589,1085255,9975642,338766,1564720,4087800,8975429,46545,94994,109825
neg19803,885326,0,882605,5505,0,189829,162299,58480,989318,11490,93035,249302,0,104991,138957,115213,84754,246653,137327,77342,293991,357374,1892759,113976,209117,1858828,1402933,19868,44532,58903
neg19805,13006011,20991,28352442,12261,61071,42195201,1569766,14845,10161,0,393902,1441247,0,1027995,35710,55862,29291,429258,26107,8251,158613,830481,951028,2007537,526213,298801,4278447,11377427,2489114,73438
neg1982,43680,0,18483,32679,0,18982,173977,16312,255415,18529,0,35573,325591,469366,142302,469915,325805,490372,716823,403051,796811,3334364,190947,259815,713232,200593,137372,533569,851589,394714
neg19847,32639,12157,33878,3695125,10963695,10852,42563,0,217201,9586458,38855,54884,1545385,273592,45394,42066,4723,102058,0,4713,53767,19992,199713,13238,28648,110056,138684,0,3453,1448172
neg1987,17346,8987,192501,74408,433060,6075,688128,79250,9349,229089,6874,39096,304432,5757,674955,3669842,512672,1317752,304343,93914,389598,1477383,3151720,3064077,813848,108793,453484,735243,1032125,477384
neg19873,70321,0,82395,0,5680154,17834,252180,8450,0,0,119852,157796,284839,32837,24502,8637,1804,21515,16757,20745,41473,25422,160562,4742,52316,244298,176985,12617,0,236641
