OTU,Phylum,Order
ASV3432,Proteobacteria,Others
ASV3433,Acidobacteriota,Acidobacteriales
ASV3434,Actinobacteriota,Corynebacteriales
ASV3435,Acidobacteriota,Acidobacteriales
ASV3436,Actinobacteriota,Others
ASV3437,Others,Bacteroidota
ASV3438,Acidobacteriota,Acidobacteriales
ASV3440,Acidobacteriota,Acidobacteriales
ASV3441,Planctomycetota,Isosphaerales
ASV3442,Proteobacteria,Rhizobiales
ASV3443,Planctomycetota,Isosphaerales
ASV3444,Planctomycetota,Isosphaerales
ASV3445,Proteobacteria,Others
ASV3450,Actinobacteriota,Pseudonocardiales
ASV3453,Proteobacteria,Acetobacterales
ASV3454,Actinobacteriota,Solirubrobacterales
ASV3455,Acidobacteriota,Acidobacteriales
ASV3457,Actinobacteriota,Solirubrobacterales
ASV3458,Actinobacteriota,Micrococcales
ASV3459,Proteobacteria,Acetobacterales
ASV3460,Acidobacteriota,Acidobacteriales
ASV3461,Proteobacteria,Others
ASV3462,Acidobacteriota,Acidobacteriales
ASV3464,Acidobacteriota,Acidobacteriales
ASV3466,Proteobacteria,Others
ASV3467,Acidobacteriota,Acidobacteriales
ASV3468,Actinobacteriota,Others
ASV3469,Proteobacteria,Acetobacterales
ASV3470,Acidobacteriota,Acidobacteriales
ASV3471,Acidobacteriota,Acidobacteriales
ASV3472,Actinobacteriota,Micrococcales
ASV3473,Actinobacteriota,Others
ASV3474,Acidobacteriota,Acidobacteriales
ASV3475,Actinobacteriota,Micrococcales
ASV3477,Acidobacteriota,Acidobacteriales
ASV3478,Actinobacteriota,Micrococcales
ASV3479,Verrucomicrobiota,Chthoniobacterales
ASV3482,Actinobacteriota,Pseudonocardiales
ASV3483,Actinobacteriota,Others
ASV3484,Actinobacteriota,Others
ASV3485,Actinobacteriota,Others
ASV3486,Actinobacteriota,Solirubrobacterales
ASV3487,Actinobacteriota,Solirubrobacterales
ASV3488,Proteobacteria,Acetobacterales
ASV3489,Actinobacteriota,Others
ASV3490,Acidobacteriota,Bryobacterales
ASV3492,Actinobacteriota,Solirubrobacterales
ASV3493,Actinobacteriota,Solirubrobacterales
ASV3494,Actinobacteriota,Solirubrobacterales
ASV3495,Actinobacteriota,Pseudonocardiales
ASV3496,Actinobacteriota,Others
ASV3497,Others,Bacteroidota
ASV3498,Proteobacteria,Pseudomonadales
ASV3499,Proteobacteria,Rhizobiales
ASV3500,Proteobacteria,Others
ASV3502,Actinobacteriota,Solirubrobacterales
ASV3503,Actinobacteriota,IMCC26256
ASV3504,Proteobacteria,Acetobacterales
ASV3505,Acidobacteriota,Acidobacteriales
ASV3506,Planctomycetota,Isosphaerales
ASV3507,Actinobacteriota,Corynebacteriales
ASV3508,Proteobacteria,Others
ASV3509,Verrucomicrobiota,Chthoniobacterales
ASV3510,Verrucomicrobiota,Chthoniobacterales
ASV3513,Proteobacteria,Rhizobiales
