"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"ASV888";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV889";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";NA;NA
"ASV890";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Acidipila";NA
"ASV892";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";NA;NA
"ASV899";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"IMCC26256";NA;NA;NA
"ASV900";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV901";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"IMCC26256";NA;NA;NA
"ASV902";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";NA;NA
"ASV903";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingomonas";NA
"ASV904";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV907";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"Acidisoma";NA
"ASV908";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium";NA
"ASV911";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Comamonadaceae";NA;NA
"ASV912";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV913";"Bacteria";"Planctomycetota";"Phycisphaerae";"Tepidisphaerales";"WD2101 soil group";NA;NA
"ASV914";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV917";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"ASV918";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV920";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";NA;NA
"ASV921";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";"Tundrisphaera";NA
"ASV924";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV925";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV926";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"ASV928";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"Acidocella";NA
"ASV929";"Bacteria";"Actinobacteriota";"Actinobacteria";"Frankiales";"Frankiaceae";"Jatrophihabitans";NA
"ASV932";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Microbacteriaceae";NA;NA
"ASV933";"Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";NA;NA;NA
"ASV941";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";NA;NA
"ASV942";"Bacteria";"Planctomycetota";"Planctomycetes";"Isosphaerales";"Isosphaeraceae";"Tundrisphaera";NA
"ASV943";"Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";NA;NA;NA
"ASV944";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"Acidisphaera";NA
"ASV945";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;NA
"ASV948";"Bacteria";"Actinobacteriota";"Actinobacteria";NA;NA;NA;NA
"ASV949";"Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";NA;NA;NA
"ASV953";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV954";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Bryobacterales";"Bryobacteraceae";"Bryobacter";NA
"ASV957";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Dermacoccaceae";"Flexivirga";NA
"ASV958";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Acetobacterales";"Acetobacteraceae";"Acidisphaera";NA
"ASV959";"Bacteria";"Actinobacteriota";NA;NA;NA;NA;NA
"ASV960";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";NA;NA
"ASV962";"Bacteria";"Acidobacteriota";"Acidobacteriae";"Acidobacteriales";"Acidobacteriaceae (Subgroup 1)";"Bryocella";NA
