name+AF8-sirius,Pathway,Class,Subclass
pos3805,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3824,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos391,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3939,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4230,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4248,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4261,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4266,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4331,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4363,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4385,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos439,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4392,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4398,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4442,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4503,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4506,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4576,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4634,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4635,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4639,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4667,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4669,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4681,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos469,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4693,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos472,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4793,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4804,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4820,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos4882,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos496,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5058,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5095,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5121,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5178,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5185,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5259,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5260,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5263,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5389,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5461,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5526,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5535,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5546,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5547,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5594,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5719,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5849,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5963,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5981,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos5998,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6010,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6024,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6164,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6182,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6197,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6249,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6280,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos633,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6435,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6539,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6619,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6651,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6661,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6696,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6754,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6764,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6946,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6953,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6961,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos6976,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7068,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7079,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7102,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7117,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7206,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7218,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7369,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7419,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos7620,Amino acids and Peptides,Amino acids,Amino acids and derivatives
